CustomerID,Gender,Age,Annual Income (k\$),Spending Score (1-100)
1,Male,41,23.60938718285244,87.78870666317616
2,Female,35,93.3751519411705,40.94480375502731
3,Male,41,18.23437988607786,14.267507616613432
4,Male,18,86.46462091536252,3.849484955020558
5,Male,36,129.70808945384482,75.75858831168829
6,Female,44,85.20784970085724,62.410645583993
7,Male,60,62.356730997195676,70.70389704182314
8,Male,32,93.48116264996709,22.083451989382162
9,Male,28,70.90685263996502,14.500776083090207
10,Female,32,81.56524829654406,2.439921901120311
11,Male,52,129.85870667073607,35.7081683218531
12,Male,44,62.10452181169446,59.40185099860867
13,Male,32,132.26524878651753,39.832160464873496
14,Male,47,125.45277831863977,44.31001728034918
15,Female,41,38.88651844429417,90.5117107548811
16,Male,53,23.462078706770185,35.47729123530674
17,Female,30,27.29491616804605,51.88495942682127
18,Female,35,17.223062729489065,78.58164826137316
19,Female,34,26.522041212223264,40.25773544980574
20,Male,19,98.32682635679554,62.58658332255948
21,Female,44,23.685015112147937,86.37400716592778
22,Male,43,53.91502689583888,95.00254174210657
23,Female,40,118.07478793827346,15.560274611974755
24,Female,36,17.839176159770755,92.73217489098795
25,Female,20,114.36515487585017,49.71951301487428
26,Female,34,49.38628252235479,26.566194441596878
27,Female,35,29.416108969842064,46.45443986758787
28,Female,28,100.00193417442638,98.02322495326223
29,Female,37,91.73102730714585,49.76919130529409
30,Female,45,122.05158565030047,33.54640941846331
31,Male,66,104.67866734407406,63.70668457735585
32,Male,42,113.02467350695153,24.774416259041114
33,Female,43,49.40821785369939,8.510469482757728
34,Female,38,36.64762434112619,13.759092469154274
35,Female,18,106.57499970018472,13.67653805681947
36,Male,39,113.43383819060621,16.03836665771714
37,Female,40,135.84162732408214,14.743890092291604
38,Male,74,65.33935658319403,64.44659973551825
39,Male,37,60.38620646671955,19.006128355515337
40,Male,44,109.72238121052361,35.221061049062456
41,Male,39,56.57803191086818,89.78205258069517
42,Male,23,128.5523937236349,47.92220238602436
43,Female,55,119.72635572484744,67.0882161135817
44,Female,50,67.33727133975225,18.059667248961354
45,Female,51,106.60627027056267,20.036612862058405
46,Female,27,107.05423063833125,5.045993010381407
47,Female,59,27.58111199798378,17.72457124414429
48,Male,20,125.11145461490713,28.580443564163904
49,Female,48,76.64078943863856,18.524037943397936
50,Female,70,115.82781086514447,9.781550841948505
51,Male,26,54.04605132573463,12.94295123895948
52,Female,32,124.25383387653646,46.61709803523985
53,Male,41,62.4826048055679,21.427038122173457
54,Female,32,16.3221934805964,37.06271624375947
55,Male,18,125.45660112315016,50.83830981463083
56,Female,40,26.136974567908293,69.34908803430716
57,Female,25,53.95626378603061,4.891901844268794
58,Male,46,130.9075599801982,80.14162949199522
59,Male,27,130.97407192638184,63.16213855959987
60,Male,61,84.9594223510409,9.094144162938319
61,Male,29,92.08413988471551,87.48428378657094
